method,source_gene,target_gene,f_score_mean,recall_mean
meandifference,AATF,ABCE1,0.22315653374547126,0.0
meandifference,AATF,ABCF1,0.1718929747331462,0.0
meandifference,AATF,ACIN1,0.1344652324243679,0.0
meandifference,AATF,ACTB,0.12028120217819335,0.0
meandifference,AATF,ACTR2,0.13022603737283864,0.0
meandifference,AATF,AHCTF1,0.1203920444698941,0.0
meandifference,AATF,ALYREF,0.15865140152385565,0.0
meandifference,AATF,ANAPC15,0.0903721163396867,0.0
meandifference,AATF,ANKRD11,0.12481141749940455,0.0
meandifference,AATF,AP2M1,0.33243345845449684,0.0
meandifference,AATF,ARCN1,0.16571027031364854,0.0
meandifference,AATF,ARGLU1,0.19373523336608933,0.0
meandifference,AATF,ARPC2,0.27969191513905584,0.0
meandifference,AATF,ARPC4,0.25188684152400725,0.0
meandifference,AATF,ATP6V0B,0.283334189723242,0.0
meandifference,AATF,BANF1,0.11188726688303395,0.0
meandifference,AATF,BDP1,0.1712000564861617,0.0
meandifference,AATF,BOP1,0.3837707218836217,1.0
meandifference,AATF,BRK1,0.22043695387096204,0.0
meandifference,AATF,BUB1,0.1501320175414117,0.0
meandifference,AATF,BUB3,0.27666692827451944,0.0
meandifference,AATF,C19orf53,0.17328056828479635,0.0
meandifference,AATF,C1QBP,0.1486187659762049,0.0
meandifference,AATF,C9orf16,0.3864805988887813,0.0
meandifference,AATF,C9orf78,0.19201006740575666,0.0
meandifference,AATF,CCT2,0.3582109085181015,0.0
meandifference,AATF,CCT3,0.2713898416337551,0.0
meandifference,AATF,CCT4,0.2799227233002649,0.0
meandifference,AATF,CCT7,0.2533442918569449,0.0
meandifference,AATF,CDC27,0.18227659221267534,0.0
meandifference,AATF,CDC37,0.19367643862034645,0.0
meandifference,AATF,CDK1,0.08960627519916364,0.0
meandifference,AATF,CHEK1,0.2684916721339593,0.0
meandifference,AATF,CHORDC1,0.23938404940894775,0.0
meandifference,AATF,CIAO1,0.2490111349221443,0.0
meandifference,AATF,CKAP5,0.1572995694454884,0.0
meandifference,AATF,CLTC,0.13697031747070734,0.0
meandifference,AATF,CNOT1,0.2250247084142778,0.0
meandifference,AATF,COPS6,0.27634038687752394,0.0
meandifference,AATF,COPZ1,0.1443063020291744,0.0
meandifference,AATF,COX7C,0.09513261662257595,0.0
meandifference,AATF,CPSF3,0.1284696672339967,0.0
meandifference,AATF,CSE1L,0.2153376295616162,0.0
meandifference,AATF,CSNK1A1,0.2698486630519764,0.0
meandifference,AATF,CYCS,0.12314973413480206,0.0
