contrast,method_regime,stratum,n_genes,n_predicted,n_gt,precision,recall,f1
faithfulness,pc_observational,high,150,20,6391,0.8,0.0025035205758097323,0.004991420995164561
faithfulness,pc_observational,low,150,3,2611,1.0,0.0011489850631941786,0.0022953328232593728
kd_efficiency,pc_observational,medium,115,18,4211,0.8888888888888888,0.00379957254808834,0.007566800662095058
kd_efficiency,pc_observational,strong,138,3,3498,0.3333333333333333,0.0002858776443682104,0.0005712653527563553
kd_efficiency,pc_observational,weak,47,2,1293,1.0,0.0015467904098994587,0.0030888030888030892
batch_divergence,pc_observational,high,683,0,0,,,
batch_divergence,pc_observational,low,683,23,8092,0.8260869565217391,0.0023479980227385073,0.004682686383240912
batch_divergence,pc_observational,medium,683,0,910,,,
faithfulness,pc_partial_interventional,high,150,31,6391,0.8387096774193549,0.004068220935690816,0.008097165991902836
faithfulness,pc_partial_interventional,low,150,7,2611,1.0,0.002680965147453083,0.0053475935828877
kd_efficiency,pc_partial_interventional,medium,115,24,4211,0.875,0.004986938969365947,0.009917355371900827
kd_efficiency,pc_partial_interventional,strong,138,10,3498,0.8,0.002287021154945683,0.004561003420752566
kd_efficiency,pc_partial_interventional,weak,47,4,1293,1.0,0.0030935808197989174,0.006168080185042406
batch_divergence,pc_partial_interventional,high,683,0,0,,,
batch_divergence,pc_partial_interventional,low,683,38,8092,0.868421052631579,0.004078101828966881,0.00811808118081181
batch_divergence,pc_partial_interventional,medium,683,0,910,,,
faithfulness,pc_interventional,high,150,31,6391,0.8387096774193549,0.004068220935690816,0.008097165991902836
faithfulness,pc_interventional,low,150,7,2611,1.0,0.002680965147453083,0.0053475935828877
kd_efficiency,pc_interventional,medium,115,24,4211,0.875,0.004986938969365947,0.009917355371900827
kd_efficiency,pc_interventional,strong,138,10,3498,0.8,0.002287021154945683,0.004561003420752566
kd_efficiency,pc_interventional,weak,47,4,1293,1.0,0.0030935808197989174,0.006168080185042406
batch_divergence,pc_interventional,high,683,0,0,,,
batch_divergence,pc_interventional,low,683,38,8092,0.868421052631579,0.004078101828966881,0.00811808118081181
batch_divergence,pc_interventional,medium,683,0,910,,,
faithfulness,fci_observational,high,150,29,6391,0.7586206896551724,0.0034423407917383822,0.006853582554517134
faithfulness,fci_observational,low,150,10,2611,0.9,0.0034469551895825352,0.006867607783288821
kd_efficiency,fci_observational,medium,115,23,4211,0.9130434782608695,0.004986938969365947,0.009919697685403874
kd_efficiency,fci_observational,strong,138,10,3498,0.5,0.001429388221841052,0.0028506271379703536
kd_efficiency,fci_observational,weak,47,6,1293,0.8333333333333334,0.0038669760247486465,0.007698229407236336
batch_divergence,fci_observational,high,683,0,0,,,
batch_divergence,fci_observational,low,683,39,8092,0.7948717948717948,0.0038309441423628274,0.007625138359365392
batch_divergence,fci_observational,medium,683,0,910,,,
faithfulness,fci_partial_interventional,high,150,43,6391,0.7674418604651163,0.0051635111876075735,0.010258004351880635
faithfulness,fci_partial_interventional,low,150,16,2611,1.0,0.006127920337035618,0.012181195279786828
kd_efficiency,fci_partial_interventional,medium,115,36,4211,0.8611111111111112,0.007361671811921159,0.014598540145985403
kd_efficiency,fci_partial_interventional,strong,138,14,3498,0.6428571428571429,0.002572898799313894,0.005125284738041002
kd_efficiency,fci_partial_interventional,weak,47,9,1293,1.0,0.0069605568445475635,0.013824884792626725
batch_divergence,fci_partial_interventional,high,683,0,0,,,
batch_divergence,fci_partial_interventional,low,683,59,8092,0.8305084745762712,0.006055363321799308,0.012023064654643601
batch_divergence,fci_partial_interventional,medium,683,0,910,,,
faithfulness,fci_interventional,high,150,43,6391,0.7674418604651163,0.0051635111876075735,0.010258004351880635
faithfulness,fci_interventional,low,150,16,2611,1.0,0.006127920337035618,0.012181195279786828
kd_efficiency,fci_interventional,medium,115,36,4211,0.8611111111111112,0.007361671811921159,0.014598540145985403
kd_efficiency,fci_interventional,strong,138,14,3498,0.6428571428571429,0.002572898799313894,0.005125284738041002
kd_efficiency,fci_interventional,weak,47,9,1293,1.0,0.0069605568445475635,0.013824884792626725
batch_divergence,fci_interventional,high,683,0,0,,,
batch_divergence,fci_interventional,low,683,59,8092,0.8305084745762712,0.006055363321799308,0.012023064654643601
batch_divergence,fci_interventional,medium,683,0,910,,,
faithfulness,ges_observational,high,150,30,6391,0.7333333333333333,0.0034423407917383822,0.006852515184550693
faithfulness,ges_observational,low,150,11,2611,0.9090909090909091,0.0038299502106472617,0.007627765064836004
kd_efficiency,ges_observational,medium,115,27,4211,0.7777777777777778,0.004986938969365947,0.009910335063709298
kd_efficiency,ges_observational,strong,138,9,3498,0.6666666666666666,0.0017152658662092624,0.003421727972626176
kd_efficiency,ges_observational,weak,47,5,1293,1.0,0.0038669760247486465,0.007704160246533127
batch_divergence,ges_observational,high,683,0,0,,,
batch_divergence,ges_observational,low,683,41,8092,0.7804878048780488,0.003954522985664854,0.007869174966187137
batch_divergence,ges_observational,medium,683,0,910,,,
faithfulness,ges_partial_interventional,high,150,36,6391,0.75,0.004224690971678924,0.008402053835381982
faithfulness,ges_partial_interventional,low,150,12,2611,1.0,0.004595940252776714,0.009149828440716738
kd_efficiency,ges_partial_interventional,medium,115,31,4211,0.8709677419354839,0.006411778674899074,0.01272984441301273
kd_efficiency,ges_partial_interventional,strong,138,12,3498,0.5833333333333334,0.002001143510577473,0.003988603988603989
kd_efficiency,ges_partial_interventional,weak,47,5,1293,1.0,0.0038669760247486465,0.007704160246533127
batch_divergence,ges_partial_interventional,high,683,0,0,,,
batch_divergence,ges_partial_interventional,low,683,48,8092,0.8125,0.004819574888779041,0.009582309582309583
batch_divergence,ges_partial_interventional,medium,683,0,910,,,
faithfulness,ges_interventional,high,150,36,6391,0.75,0.004224690971678924,0.008402053835381982
faithfulness,ges_interventional,low,150,12,2611,1.0,0.004595940252776714,0.009149828440716738
kd_efficiency,ges_interventional,medium,115,31,4211,0.8709677419354839,0.006411778674899074,0.01272984441301273
kd_efficiency,ges_interventional,strong,138,12,3498,0.5833333333333334,0.002001143510577473,0.003988603988603989
kd_efficiency,ges_interventional,weak,47,5,1293,1.0,0.0038669760247486465,0.007704160246533127
batch_divergence,ges_interventional,high,683,0,0,,,
batch_divergence,ges_interventional,low,683,48,8092,0.8125,0.004819574888779041,0.009582309582309583
batch_divergence,ges_interventional,medium,683,0,910,,,
faithfulness,gies_observational,high,150,30,6391,0.7333333333333333,0.0034423407917383822,0.006852515184550693
faithfulness,gies_observational,low,150,11,2611,0.9090909090909091,0.0038299502106472617,0.007627765064836004
kd_efficiency,gies_observational,medium,115,27,4211,0.7777777777777778,0.004986938969365947,0.009910335063709298
kd_efficiency,gies_observational,strong,138,9,3498,0.6666666666666666,0.0017152658662092624,0.003421727972626176
kd_efficiency,gies_observational,weak,47,5,1293,1.0,0.0038669760247486465,0.007704160246533127
batch_divergence,gies_observational,high,683,0,0,,,
batch_divergence,gies_observational,low,683,41,8092,0.7804878048780488,0.003954522985664854,0.007869174966187137
batch_divergence,gies_observational,medium,683,0,910,,,
faithfulness,gies_partial_interventional,high,150,36,6391,0.75,0.004224690971678924,0.008402053835381982
faithfulness,gies_partial_interventional,low,150,12,2611,1.0,0.004595940252776714,0.009149828440716738
kd_efficiency,gies_partial_interventional,medium,115,31,4211,0.8709677419354839,0.006411778674899074,0.01272984441301273
kd_efficiency,gies_partial_interventional,strong,138,12,3498,0.5833333333333334,0.002001143510577473,0.003988603988603989
kd_efficiency,gies_partial_interventional,weak,47,5,1293,1.0,0.0038669760247486465,0.007704160246533127
batch_divergence,gies_partial_interventional,high,683,0,0,,,
batch_divergence,gies_partial_interventional,low,683,48,8092,0.8125,0.004819574888779041,0.009582309582309583
batch_divergence,gies_partial_interventional,medium,683,0,910,,,
faithfulness,gies_interventional,high,150,73,6391,0.7945205479452054,0.00907526208731028,0.017945544554455444
faithfulness,gies_interventional,low,150,17,2611,0.8823529411764706,0.005744925315970892,0.01141552511415525
kd_efficiency,gies_interventional,medium,115,61,4211,0.9016393442622951,0.013061030634053668,0.025749063670411985
kd_efficiency,gies_interventional,strong,138,16,3498,0.4375,0.002001143510577473,0.003984063745019921
kd_efficiency,gies_interventional,weak,47,13,1293,0.8461538461538461,0.008507347254447023,0.016845329249617153
batch_divergence,gies_interventional,high,683,0,0,,,
batch_divergence,gies_interventional,low,683,90,8092,0.8111111111111111,0.009021255561047948,0.017844047910046443
batch_divergence,gies_interventional,medium,683,0,910,,,
