perturbation,n_cells,phase_chi2_pvalue,s_score_diff,g2m_score_diff,diagnostic_status
AAAS,212,0.9235769227280517,0.0012664144271930557,0.01042481887548271,ok
AAMP,99,0.28419115186018135,-0.025331208880363647,-0.04163729432239559,ok
AARS,40,0.00035139576706560077,-0.020091174387005063,-0.039469199218809745,ok
AARS2,181,0.6435493889046133,-0.0031196386129028458,-0.010031295123533499,ok
AASDHPPT,49,0.03612740712007554,-0.03673741912715812,0.020658959750475984,ok
AATF,298,2.558689584767267e-11,-0.038071728368833914,-0.07185348660005136,ok
ABCB10,51,0.05714649973890785,-0.034183789996465846,-0.03548271939322151,ok
ABCB7,199,0.24663044999455622,-0.003039613601540236,-0.01363554255054341,ok
ABCE1,249,3.9053016046905426e-24,-0.10044231121458538,-0.08843028919437199,ok
ABCF1,329,6.1399552553515795e-09,-0.019542250496085607,-0.04753439099374895,ok
ABCG1,144,0.4700157337419021,0.02832973482771716,-0.004741286823948629,ok
ABHD11,49,0.28939294245190134,-0.013462479592464244,-0.03898368007809546,ok
ABHD17A,95,0.8891654989091988,-0.003093086570294534,-0.011090081477493963,ok
ABT1,107,0.06394499903161346,0.01100697992325195,-0.04998605115409011,ok
ACD,77,0.6245390234032437,-0.00977817519190766,0.013229712101125314,ok
ACIN1,191,0.15527869747704323,-0.032217701494138565,-0.00460539522878356,ok
ACOT12,180,0.4668735776201398,0.00038328554821994223,-0.0033032015949208612,ok
ACTB,168,0.46849714135451626,0.013215276671566367,-0.010752658279285926,ok
ACTL6A,55,0.3325207610921621,-0.03843785676723234,-0.005715915816537014,ok
ACTR10,116,0.04134797823371718,-0.026656515967780924,0.04485488254912127,ok
ACTR1A,143,0.703768234990543,0.01409186738451592,0.007400722606819628,ok
ACTR1B,206,0.10052290715912855,0.014401891533261931,0.0008846261997824886,ok
ACTR2,236,0.29586383834706886,0.019916371391257646,-0.008692603027792789,ok
ACTR3,118,0.20765112661806892,0.006131192240545785,0.020592680112461452,ok
ACTR6,108,0.8259954365923696,0.024773652275865303,-0.0028065346119578866,ok
ACTR8,252,0.16709783659569147,0.03442310391362986,-0.004114970080873234,ok
ADAT2,85,0.45458239816202806,-0.023595199723916823,-0.02350806522429563,ok
ADAT3,125,0.542490992910879,0.01710305174757494,-0.020037752503809743,ok
ADRM1,105,0.5944494730764922,-0.011575134474505056,-0.009931839900000218,ok
ADSL,133,0.8208828222861068,0.01377175892872802,-0.006303825168321016,ok
AFG3L2,15,0.4740463574567604,0.04528489063882828,-0.03361293613047641,ok
AHCTF1,290,0.35044833730651226,-0.009946384227608508,-0.011988267042085603,ok
AHCY,147,0.21106901406723821,0.00015210466304595854,0.022131885515782095,ok
AIFM1,50,0.1584441105215584,0.01549640279549494,0.010199321976190251,ok
AKIRIN2,169,0.3305385285606748,-0.003481066134741747,-0.017189271233040516,ok
ALDOA,78,7.716364199658284e-05,-0.03831526317014609,-0.01984407829842513,ok
ALG1,69,0.7230631038249701,-0.001949678005577521,0.02823126972314679,ok
ALG11,97,0.922089736822428,0.019165784739515558,0.0022892641093861382,ok
ALG13,170,0.11969730128607303,-0.019440565058975647,-0.006056432950868565,ok
