perturbation,n_cells,target_in_subset,diag_batch_js_divergence,diag_batch_n_batches_covered,diag_batch_status,diag_batch_stratum,diag_cellcycle_g2m_score_diff,diag_cellcycle_phase_chi2_p,diag_cellcycle_phase_shifted,diag_cellcycle_s_score_diff,diag_cellcycle_status,diag_kd_ctrl_norm_mean,diag_kd_pert_norm_mean,diag_kd_residual_ratio,diag_kd_stratum,diag_status
AAAS,212,False,0.0616378609653998,47,ok,low,0.0104248188754827,0.9235769227280516,False,0.001266414427193,ok,,,,target_not_measured,kd_unmeasurable
AAMP,99,False,0.1431314071212037,39,ok,high,-0.0416372943223955,0.2841911518601813,False,-0.0253312088803636,ok,,,,target_not_measured,kd_unmeasurable
AARS,40,False,0.2653714002100055,29,ok,high,-0.0394691992188097,0.0003513957670656,False,-0.020091174387005,ok,,,,target_not_measured,kd_unmeasurable
AARS2,181,False,0.0585501928027191,48,ok,low,-0.0100312951235334,0.6435493889046133,False,-0.0031196386129028,ok,,,,target_not_measured,kd_unmeasurable
AASDHPPT,49,False,0.166877272779266,35,ok,high,0.0206589597504759,0.0361274071200755,False,-0.0367374191271581,ok,,,,target_not_measured,kd_unmeasurable
AATF,298,True,0.0234617818685598,48,ok,low,-0.0718534866000513,2.5586895847672668e-11,True,-0.0380717283688339,ok,1.1257604916544726,0.1407530609484039,0.1250293130660025,strong,full
ABCB10,51,False,0.2327483920487248,31,ok,high,-0.0354827193932215,0.0571464997389078,False,-0.0341837899964658,ok,,,,target_not_measured,kd_unmeasurable
ABCB7,199,False,0.0422963782882202,48,ok,low,-0.0136355425505434,0.2466304499945562,False,-0.0030396136015402,ok,,,,target_not_measured,kd_unmeasurable
ABCE1,249,True,0.0341516204841143,47,ok,low,-0.0884302891943719,3.9053016046905426e-24,True,-0.1004423112145853,ok,2.179380327928274,0.496321075427062,0.227734952484804,medium,full
ABCF1,329,True,0.0297100133265837,48,ok,low,-0.0475343909937489,6.139955255351579e-09,True,-0.0195422504960856,ok,2.121430366793177,1.142920368460703,0.5387498860914198,weak,full
ABCG1,144,False,0.0657859168835786,46,ok,medium,-0.0047412868239486,0.4700157337419021,False,0.0283297348277171,ok,,,,target_not_measured,kd_unmeasurable
ABHD11,49,False,0.2564056096896324,29,ok,high,-0.0389836800780954,0.2893929424519013,False,-0.0134624795924642,ok,,,,target_not_measured,kd_unmeasurable
ABHD17A,95,False,0.0943975146559028,43,ok,medium,-0.0110900814774939,0.8891654989091988,False,-0.0030930865702945,ok,,,,target_not_measured,kd_unmeasurable
ABT1,107,False,0.0790695095726331,44,ok,medium,-0.0499860511540901,0.0639449990316134,False,0.0110069799232519,ok,,,,target_not_measured,kd_unmeasurable
ACD,77,False,0.1400933684199705,39,ok,high,0.0132297121011253,0.6245390234032437,False,-0.0097781751919076,ok,,,,target_not_measured,kd_unmeasurable
ACIN1,191,True,0.0473427399983397,47,ok,low,-0.0046053952287835,0.1552786974770432,False,-0.0322177014941385,ok,1.5002633086471449,0.9392919863256846,0.6260847551971971,weak,full
ACOT12,180,False,0.0484578277845633,47,ok,low,-0.0033032015949208,0.4668735776201398,False,0.0003832855482199,ok,,,,target_not_measured,kd_unmeasurable
ACTB,168,True,0.0714448475550844,48,ok,medium,-0.0107526582792859,0.4684971413545162,False,0.0132152766715663,ok,21.84645738551863,9.062533115884133,0.4148284985505895,medium,full
ACTL6A,55,False,0.1885925588515943,35,ok,high,-0.005715915816537,0.3325207610921621,False,-0.0384378567672323,ok,,,,target_not_measured,kd_unmeasurable
ACTR10,116,False,0.1007449554890873,43,ok,medium,0.0448548825491212,0.0413479782337171,False,-0.0266565159677809,ok,,,,target_not_measured,kd_unmeasurable
ACTR1A,143,False,0.0702684206685882,46,ok,medium,0.0074007226068196,0.703768234990543,False,0.0140918673845159,ok,,,,target_not_measured,kd_unmeasurable
ACTR1B,206,False,0.0274014002530324,48,ok,low,0.0008846261997824,0.1005229071591285,False,0.0144018915332619,ok,,,,target_not_measured,kd_unmeasurable
ACTR2,236,True,0.0565986525978412,47,ok,low,-0.0086926030277927,0.2958638383470688,False,0.0199163713912576,ok,2.0598541299144153,0.1813708650146312,0.0880503441387701,strong,full
ACTR3,118,False,0.0940775551838512,44,ok,medium,0.0205926801124614,0.2076511266180689,False,0.0061311922405457,ok,,,,target_not_measured,kd_unmeasurable
ACTR6,108,False,0.0848646948683944,44,ok,medium,-0.0028065346119578,0.8259954365923696,False,0.0247736522758653,ok,,,,target_not_measured,kd_unmeasurable
ACTR8,252,False,0.0436978860042116,47,ok,low,-0.0041149700808732,0.1670978365956914,False,0.0344231039136298,ok,,,,target_not_measured,kd_unmeasurable
ADAT2,85,False,0.1136751596062817,41,ok,medium,-0.0235080652242956,0.454582398162028,False,-0.0235951997239168,ok,,,,target_not_measured,kd_unmeasurable
ADAT3,125,False,0.1202154016924104,42,ok,medium,-0.0200377525038097,0.542490992910879,False,0.0171030517475749,ok,,,,target_not_measured,kd_unmeasurable
ADRM1,105,False,0.0990637258474686,43,ok,medium,-0.0099318399000002,0.5944494730764922,False,-0.011575134474505,ok,,,,target_not_measured,kd_unmeasurable
ADSL,133,False,0.061183962679145,45,ok,low,-0.006303825168321,0.8208828222861068,False,0.013771758928728,ok,,,,target_not_measured,kd_unmeasurable
AFG3L2,15,False,0.5511375536011871,12,ok,high,-0.0336129361304764,0.4740463574567604,False,0.0452848906388282,ok,,,,target_not_measured,kd_unmeasurable
AHCTF1,290,True,0.0226200692486269,48,ok,low,-0.0119882670420856,0.3504483373065122,False,-0.0099463842276085,ok,1.5294589120820772,0.562290089207642,0.3676398788916711,medium,full
AHCY,147,False,0.0459270104489484,47,ok,low,0.022131885515782,0.2110690140672382,False,0.0001521046630459,ok,,,,target_not_measured,kd_unmeasurable
AIFM1,50,False,0.2189173880913489,33,ok,high,0.0101993219761902,0.1584441105215584,False,0.0154964027954949,ok,,,,target_not_measured,kd_unmeasurable
AKIRIN2,169,False,0.0525425254786885,47,ok,low,-0.0171892712330405,0.3305385285606748,False,-0.0034810661347417,ok,,,,target_not_measured,kd_unmeasurable
ALDOA,78,False,0.1764853719400118,35,ok,high,-0.0198440782984251,7.716364199658284e-05,False,-0.038315263170146,ok,,,,target_not_measured,kd_unmeasurable
ALG1,69,False,0.1468162588358733,39,ok,high,0.0282312697231467,0.7230631038249701,False,-0.0019496780055775,ok,,,,target_not_measured,kd_unmeasurable
ALG11,97,False,0.1110167078095068,40,ok,medium,0.0022892641093861,0.922089736822428,False,0.0191657847395155,ok,,,,target_not_measured,kd_unmeasurable
ALG13,170,False,0.0349366198820774,48,ok,low,-0.0060564329508685,0.119697301286073,False,-0.0194405650589756,ok,,,,target_not_measured,kd_unmeasurable
ALG14,183,False,0.0662513855432214,47,ok,medium,0.0223426248454798,0.3472863554368542,False,-0.0099741843382209,ok,,,,target_not_measured,kd_unmeasurable
ALG1L,216,False,0.0629683667615924,46,ok,low,-0.0006935834517727,0.7841163147816833,False,-0.003174082243255,ok,,,,target_not_measured,kd_unmeasurable
ALG2,247,False,0.0325034872492812,48,ok,low,-0.0035329726876963,0.3667050388256573,False,-0.0139195568349908,ok,,,,target_not_measured,kd_unmeasurable
ALYREF,319,True,0.0337860450862459,48,ok,low,0.0213458822029614,0.7504995625716105,False,-0.0076255720658843,ok,2.522617765957401,1.4291143774590067,0.5665203808301174,weak,full
ANAPC1,124,False,0.111128905063034,43,ok,medium,0.0333044975934483,0.0012143135558871,False,-0.0374718238830534,ok,,,,target_not_measured,kd_unmeasurable
ANAPC10,29,False,0.3241238186537665,23,ok,high,0.0436924338603281,0.0121373047366249,False,-0.0742828540910567,ok,,,,target_not_measured,kd_unmeasurable
ANAPC11,77,False,0.1513502002763013,38,ok,high,0.0415508357374889,0.4272315544566181,False,-0.0250573398113881,ok,,,,target_not_measured,kd_unmeasurable
ANAPC13,112,False,0.1113214550672625,43,ok,medium,-0.0308506343173811,0.6329193983267491,False,0.0008065419644235,ok,,,,target_not_measured,kd_unmeasurable
ANAPC15,424,True,0.0147534304250666,48,ok,low,-0.0136423798116871,0.337318383009732,False,-0.0053319564173446,ok,0.7931060296002274,0.6352584214260067,0.8009754026787752,weak,full
ANAPC2,237,False,0.0279012673502163,48,ok,low,0.0081663916241522,0.0341625428481761,False,-0.0290731954848848,ok,,,,target_not_measured,kd_unmeasurable
ANAPC4,63,False,0.2387520212433425,31,ok,high,0.0358534104092061,2.68285979793914e-05,False,-0.0735220286881558,ok,,,,target_not_measured,kd_unmeasurable
ANAPC5,40,False,0.2249517695004777,30,ok,high,-0.0064736456598097,0.4643947354447868,False,-0.022552005292005,ok,,,,target_not_measured,kd_unmeasurable
ANKLE2,126,False,0.0825024153334965,45,ok,medium,0.0189783578234918,0.7259379565120615,False,-0.0154050927770447,ok,,,,target_not_measured,kd_unmeasurable
ANKRD11,260,True,0.0352918534952013,48,ok,low,-0.0177273896397712,0.5269635513078553,False,0.000846494726691,ok,1.4107306273138938,0.3332160680139903,0.2362010589140263,medium,full
ANKRD49,144,False,0.0991412220706961,43,ok,medium,-0.0168847706619347,0.4755538722167246,False,0.0048020320492449,ok,,,,target_not_measured,kd_unmeasurable
ANKS6,95,False,0.1114539665342132,41,ok,medium,-0.0093822657753886,0.460412575951473,False,-0.0135028135692419,ok,,,,target_not_measured,kd_unmeasurable
ANLN,96,False,0.140707002258639,41,ok,high,0.0172849180945235,0.050596807252534,False,-0.0206173751528383,ok,,,,target_not_measured,kd_unmeasurable
AP2M1,215,True,0.0419743166518641,48,ok,low,0.01818222205626,0.6876485207772824,False,0.0061107387613088,ok,2.225932662443218,1.2792576313259747,0.5747063479996928,weak,full
AP2S1,123,False,0.0698325333574211,45,ok,medium,-0.0253683960426715,0.0526350183911197,False,0.0216654683843567,ok,,,,target_not_measured,kd_unmeasurable
AQP7,108,False,0.0747124980530276,45,ok,medium,0.0037347981158198,0.2263150257553354,False,0.0172919237851245,ok,,,,target_not_measured,kd_unmeasurable
AQR,90,False,0.1423314649699595,39,ok,high,0.0124800614461902,4.1407903156626644e-14,True,-0.1394204555756161,ok,,,,target_not_measured,kd_unmeasurable
ARCN1,333,True,0.0240695155607465,48,ok,low,-0.0290557990606265,3.5212855786642034e-07,True,-0.0278907353593999,ok,0.8796404296377194,0.3706340237713568,0.4213471906060557,medium,full
ARF4,89,False,0.1323824333774318,39,ok,high,-0.0104890578357198,0.9930564320961256,False,-0.0012420084967522,ok,,,,target_not_measured,kd_unmeasurable
ARFRP1,138,False,0.0891128509977644,45,ok,medium,-0.0023484583956938,0.6058144298656247,False,0.0132666647310021,ok,,,,target_not_measured,kd_unmeasurable
ARGFX,84,False,0.1493464976486567,39,ok,high,-0.0234232991983335,0.6176957765593573,False,0.0301410506376378,ok,,,,target_not_measured,kd_unmeasurable
ARGLU1,498,True,0.0237810529759276,48,ok,low,0.0157740105891219,0.0350876220812088,False,0.0132642986719005,ok,2.384598485827472,0.4294505811651927,0.1800934554465132,strong,full
ARHGAP11B,212,False,0.0282251592443599,48,ok,low,-0.0063637121911682,0.3011954753115481,False,-0.0122438998854484,ok,,,,target_not_measured,kd_unmeasurable
ARID3A,31,False,0.3384337660176666,23,ok,high,-0.0322074941412291,0.5231741046113285,False,0.0339030109345271,ok,,,,target_not_measured,kd_unmeasurable
ARIH1,59,False,0.2301270481207155,32,ok,high,-0.0301213001299114,0.0392922861997209,False,0.0260632784054949,ok,,,,target_not_measured,kd_unmeasurable
ARL2,74,False,0.1425531508034806,38,ok,high,0.0231428047010551,0.152381060497752,False,-0.030334730221532,ok,,,,target_not_measured,kd_unmeasurable
ARL4D,120,False,0.1049688499237457,43,ok,medium,-0.026919593584643,0.7698306031021707,False,0.0091530978529949,ok,,,,target_not_measured,kd_unmeasurable
ARMC6,86,False,0.1559671756345771,36,ok,high,0.0069697950280507,0.8642115776096977,False,-0.0036465686852027,ok,,,,target_not_measured,kd_unmeasurable
ARMC7,110,False,0.0979569370376505,42,ok,medium,-0.0100747530610824,0.5486050819446578,False,0.0069061698891313,ok,,,,target_not_measured,kd_unmeasurable
ARPC2,227,True,0.0477717545716584,48,ok,low,-0.0023925222347348,0.8427706513591315,False,-0.0038216232513332,ok,2.4027697736974294,0.839376724849307,0.3493371416761489,medium,full
ARPC3,141,False,0.1009563571813394,43,ok,medium,-0.0148681557496253,0.6748343113384475,False,0.0090019708586864,ok,,,,target_not_measured,kd_unmeasurable
ARPC4,220,True,0.0364754015607626,47,ok,low,0.0036842914472539,0.2991446982208104,False,-0.0012383331225959,ok,0.9814419750380424,0.1212386427931709,0.1235311367118484,strong,full
ASF1B,284,False,0.0258974593226515,48,ok,low,0.003059560066824,0.5654041552535038,False,-0.0074269068429205,ok,,,,target_not_measured,kd_unmeasurable
ATF4,72,False,0.1815770581600929,34,ok,high,-0.0252473254665875,0.5325610278492119,False,-0.015821971469505,ok,,,,target_not_measured,kd_unmeasurable
ATF5,141,False,0.056059431561195,46,ok,low,-0.0968009478354409,1.8318990948843814e-26,True,-0.0865869398696823,ok,,,,target_not_measured,kd_unmeasurable
ATL2,120,False,0.0600016731417775,47,ok,low,0.0151086714701069,0.2911713430381566,False,-0.0006039493453383,ok,,,,target_not_measured,kd_unmeasurable
ATP1A1,84,False,0.128879614866959,40,ok,high,0.0245370136135712,0.3302931255040784,False,0.0382349429364473,ok,,,,target_not_measured,kd_unmeasurable
ATP2A2,158,False,0.070902172839274,46,ok,medium,-0.0269789550821641,0.6619234866325887,False,0.0072537325586594,ok,,,,target_not_measured,kd_unmeasurable
ATP6AP1,119,False,0.1224735253599506,42,ok,medium,-0.0558310124435576,0.0029127003273867,False,0.0130629811485705,ok,,,,target_not_measured,kd_unmeasurable
ATP6AP2,175,False,0.0830057201813327,45,ok,medium,-0.0101020801358097,0.66808931145739,False,-0.003254735534505,ok,,,,target_not_measured,kd_unmeasurable
ATP6V0B,147,True,0.0709350524083009,45,ok,medium,-0.0211629120236736,0.5381817844924204,False,0.0111139214912772,ok,4.929689396446853,0.6579522829199013,0.1334672897229854,strong,full
ATP6V0C,53,False,0.2262717275800999,31,ok,high,-0.035759824833621,0.0587777017950069,False,0.0569655597715326,ok,,,,target_not_measured,kd_unmeasurable
ATP6V0D1,101,False,0.1233000814956129,40,ok,high,-0.0001989596885622,0.7613988764115232,False,-0.0008100798993565,ok,,,,target_not_measured,kd_unmeasurable
ATP6V1A,96,False,0.1057118947686763,42,ok,medium,-0.0100317959092264,0.1334896547526276,False,0.0035243584096616,ok,,,,target_not_measured,kd_unmeasurable
ATP6V1B2,442,False,0.020099475532023,48,ok,low,-0.048077242439864,1.0477242309436177e-08,True,0.0268922594766103,ok,,,,target_not_measured,kd_unmeasurable
ATP6V1C1,59,False,0.1932081359712681,33,ok,high,0.0064221858243258,0.5013560681678488,False,-0.0102863135843355,ok,,,,target_not_measured,kd_unmeasurable
ATP6V1D,139,False,0.0995327543268024,44,ok,medium,-0.0500633796079824,0.0079958710226169,False,0.0098444141796676,ok,,,,target_not_measured,kd_unmeasurable
ATP6V1E1,188,False,0.0569378158602293,47,ok,low,-0.0245108788361501,0.7394379326804605,False,-0.0053871977466327,ok,,,,target_not_measured,kd_unmeasurable
ATP6V1F,72,False,0.131171162464267,39,ok,high,-0.0126971987985319,0.8337639488579658,False,0.0163591878235504,ok,,,,target_not_measured,kd_unmeasurable
ATP6V1G1,67,False,0.1981754379708423,35,ok,high,-0.0068660560427052,0.869757959695227,False,-0.0002661148700274,ok,,,,target_not_measured,kd_unmeasurable
ATP6V1H,84,False,0.123684946724078,40,ok,high,-0.0584264356673811,0.0006871061124837,False,0.0531248637269235,ok,,,,target_not_measured,kd_unmeasurable
ATR,141,False,0.0849540290679623,45,ok,medium,0.0262863436411548,0.0035480482640491,False,-0.0284044280505688,ok,,,,target_not_measured,kd_unmeasurable
ATRIP,184,False,0.0523896959088467,48,ok,low,0.0212995641226033,4.406299820750641e-05,False,-0.0464055044401572,ok,,,,target_not_measured,kd_unmeasurable
AURKA,58,False,0.158069060279152,36,ok,high,0.0186759728810178,0.1077345904948633,False,-0.036532607056574,ok,,,,target_not_measured,kd_unmeasurable
AURKAIP1,76,False,0.1558405762202074,37,ok,high,0.0107338649127902,0.3619983301967035,False,-0.0233420988655576,ok,,,,target_not_measured,kd_unmeasurable
AURKB,33,False,0.3349490691131804,24,ok,high,-0.0439630002062339,0.458734473767181,False,-0.0411253325399596,ok,,,,target_not_measured,kd_unmeasurable
BANF1,162,True,0.0675429376994896,46,ok,medium,0.0053401937763137,0.9853635814322628,False,0.0003888064696924,ok,3.245624676385282,1.0228536950885834,0.3151484835972335,medium,full
BANP,110,False,0.118585197414387,41,ok,medium,0.0177296252225538,0.2266829804674913,False,-0.0021709074865959,ok,,,,target_not_measured,kd_unmeasurable
BAP1,200,False,0.0526574194637892,46,ok,low,0.0035549538876902,0.5247474493457798,False,0.0181998673809949,ok,,,,target_not_measured,kd_unmeasurable
BARD1,140,False,0.0536703143741519,46,ok,low,-0.009994587504524,0.7408822902576024,False,0.0079260266412092,ok,,,,target_not_measured,kd_unmeasurable
BCAR1,246,False,0.0470859279490308,48,ok,low,0.0004560595488325,0.8514108665354357,False,-0.0054567630665213,ok,,,,target_not_measured,kd_unmeasurable
