matrix,fold,pair_type,threshold,n_total,n_ge,frac_ge,pct_ge
raw,I1,self,0.05,300,300,1.0,100.0
raw,I1,self,0.1,300,297,0.99,99.0
raw,I1,self,0.15,300,297,0.99,99.0
raw,I1,self,0.2,300,295,0.9833333333333333,98.33
raw,I1,self,0.25,300,294,0.98,98.0
raw,I1,self,0.3,300,293,0.9766666666666667,97.67
raw,I1,self,0.4,300,288,0.96,96.0
raw,I1,self,0.5,300,278,0.9266666666666666,92.67
raw,I1,downstream,0.05,89700,76316,0.8507915273132665,85.08
raw,I1,downstream,0.1,89700,48297,0.5384280936454849,53.84
raw,I1,downstream,0.15,89700,30462,0.33959866220735785,33.96
raw,I1,downstream,0.2,89700,19895,0.22179487179487178,22.18
raw,I1,downstream,0.25,89700,13030,0.14526198439241916,14.53
raw,I1,downstream,0.3,89700,8661,0.0965551839464883,9.66
raw,I1,downstream,0.4,89700,3876,0.04321070234113712,4.32
raw,I1,downstream,0.5,89700,1903,0.021215161649944258,2.12
raw,I2,self,0.05,300,299,0.9966666666666667,99.67
raw,I2,self,0.1,300,297,0.99,99.0
raw,I2,self,0.15,300,296,0.9866666666666667,98.67
raw,I2,self,0.2,300,295,0.9833333333333333,98.33
raw,I2,self,0.25,300,293,0.9766666666666667,97.67
raw,I2,self,0.3,300,292,0.9733333333333334,97.33
raw,I2,self,0.4,300,287,0.9566666666666667,95.67
raw,I2,self,0.5,300,278,0.9266666666666666,92.67
raw,I2,downstream,0.05,89700,76262,0.8501895206243032,85.02
raw,I2,downstream,0.1,89700,48270,0.5381270903010034,53.81
raw,I2,downstream,0.15,89700,30617,0.3413266443701226,34.13
raw,I2,downstream,0.2,89700,19691,0.219520624303233,21.95
raw,I2,downstream,0.25,89700,12924,0.14408026755852843,14.41
raw,I2,downstream,0.3,89700,8635,0.09626532887402453,9.63
raw,I2,downstream,0.4,89700,3973,0.04429208472686733,4.43
raw,I2,downstream,0.5,89700,1885,0.021014492753623187,2.1
